2018/08/28 06:55:53 -- ASUS UX310UQ| CPU: 7200U| RAM: 8G4| GPU: dGT9402D3| SSD: 512G| HDD: 0| Price: 78000.0
2018/08/28 06:55:53 -- ASUS UX410UQ| CPU: 7200U| RAM: 8G4| GPU: dGT9402D3| SSD: 512G| HDD: 0| Price: 79000.0
2018/08/28 06:55:53 -- ASUS UX410UQ| CPU: 7200U| RAM: 8G4| GPU: dGT9402D3| SSD: 512G| HDD: 0| Price: 79000.0
2018/08/28 06:55:53 -- ASUS UX430UQ| CPU: 7200U| RAM: 8G4| GPU: dGT9402D3| SSD: 512G| HDD: 0| Price: 82000.0
2018/08/28 06:55:53 -- ASUS S510UN| CPU: 8550U| RAM: 8G4| GPU: dMX1502G5| SSD: 128G| HDD: 1T| Price: 76000.0
2018/08/28 06:55:53 -- ASUS S510UN| CPU: 8550U| RAM: 8G4| GPU: dMX1502G5| SSD: 128G| HDD: 1T| Price: 76000.0
2018/08/28 06:55:53 -- ASUS S410UN| CPU: 8550U| RAM: 8G4| GPU: dMX1504G5| SSD: 128G| HDD: 1T| Price: 79500.0
2018/08/28 06:55:53 -- ASUS UX430UQ| CPU: 7500U| RAM: 8G4| GPU: dGT9402D3| SSD: 512G| HDD: 0| Price: 84000.0
2018/08/28 06:55:53 -- ASUS N580VD| CPU: 7700HQ| RAM: 8G4| GPU: dGTX10504G5| SSD: 0| HDD: 1T| Price: 79000.0
2018/08/28 06:55:53 -- ASUS FX504GD| CPU: 8300H| RAM: 8G4| GPU: dGTX10504G5| SSD: 8G| HDD: 1T| Price: 79000.0
2018/08/28 06:55:53 -- ASUS FX553VD| CPU: 7300HQ| RAM: 8G4| GPU: dGTX10504G5| SSD: 0| HDD: 1T| Price: 77000.0
